stringId_A	stringId_B	score
9606.ENSP00000284981	9606.ENSP00000260197	0.999
9606.ENSP00000284981	9606.ENSP00000477213	0.999
9606.ENSP00000284981	9606.ENSP00000252486	0.999
9606.ENSP00000284981	9606.ENSP00000318585	0.999
9606.ENSP00000284981	9606.ENSP00000326366	0.999
9606.ENSP00000284981	9606.ENSP00000296861	0.998
9606.ENSP00000284981	9606.ENSP00000315130	0.998
9606.ENSP00000284981	9606.ENSP00000399376	0.998
9606.ENSP00000284981	9606.ENSP00000351990	0.998
9606.ENSP00000284981	9606.ENSP00000453293	0.998
9606.ENSP00000284981	9606.ENSP00000294785	0.998
9606.ENSP00000284981	9606.ENSP00000265381	0.998
9606.ENSP00000284981	9606.ENSP00000265986	0.995
9606.ENSP00000284981	9606.ENSP00000340820	0.995
9606.ENSP00000284981	9606.ENSP00000427211	0.995
9606.ENSP00000284981	9606.ENSP00000340330	0.993
9606.ENSP00000284981	9606.ENSP00000500990	0.993
9606.ENSP00000284981	9606.ENSP00000468897	0.987
9606.ENSP00000284981	9606.ENSP00000468411	0.986
9606.ENSP00000284981	9606.ENSP00000460236	0.986
9606.ENSP00000284981	9606.ENSP00000358105	0.986
9606.ENSP00000284981	9606.ENSP00000009530	0.985
9606.ENSP00000284981	9606.ENSP00000346378	0.984
9606.ENSP00000284981	9606.ENSP00000243077	0.983
9606.ENSP00000284981	9606.ENSP00000236850	0.982
9606.ENSP00000284981	9606.ENSP00000237014	0.982
9606.ENSP00000284981	9606.ENSP00000380070	0.98
9606.ENSP00000284981	9606.ENSP00000370377	0.976
9606.ENSP00000284981	9606.ENSP00000362108	0.974
9606.ENSP00000284981	9606.ENSP00000355747	0.969
9606.ENSP00000284981	9606.ENSP00000366047	0.967
9606.ENSP00000284981	9606.ENSP00000315136	0.964
9606.ENSP00000284981	9606.ENSP00000241014	0.963
9606.ENSP00000284981	9606.ENSP00000172229	0.959
9606.ENSP00000284981	9606.ENSP00000263253	0.959
9606.ENSP00000284981	9606.ENSP00000384957	0.954
9606.ENSP00000284981	9606.ENSP00000260408	0.95
9606.ENSP00000284981	9606.ENSP00000380602	0.95
9606.ENSP00000284981	9606.ENSP00000376345	0.945
9606.ENSP00000284981	9606.ENSP00000414982	0.943
9606.ENSP00000284981	9606.ENSP00000330633	0.943
9606.ENSP00000284981	9606.ENSP00000497221	0.939
9606.ENSP00000284981	9606.ENSP00000240652	0.938
9606.ENSP00000284981	9606.ENSP00000303211	0.937
9606.ENSP00000284981	9606.ENSP00000083182	0.936
9606.ENSP00000284981	9606.ENSP00000401303	0.933
9606.ENSP00000284981	9606.ENSP00000367872	0.932
9606.ENSP00000284981	9606.ENSP00000222330	0.927
9606.ENSP00000284981	9606.ENSP00000381448	0.927
9606.ENSP00000284981	9606.ENSP00000263233	0.918
9606.ENSP00000284981	9606.ENSP00000386289	0.917
9606.ENSP00000284981	9606.ENSP00000340019	0.916
9606.ENSP00000284981	9606.ENSP00000311032	0.908
9606.ENSP00000284981	9606.ENSP00000334448	0.906
9606.ENSP00000284981	9606.ENSP00000323929	0.905
9606.ENSP00000284981	9606.ENSP00000257626	0.905
9606.ENSP00000284981	9606.ENSP00000399403	0.905
9606.ENSP00000284981	9606.ENSP00000265164	0.903
9606.ENSP00000284981	9606.ENSP00000345672	0.902
9606.ENSP00000284981	9606.ENSP00000356969	0.902
9606.ENSP00000284981	9606.ENSP00000410339	0.901
9606.ENSP00000284981	9606.ENSP00000295897	0.901
9606.ENSP00000284981	9606.ENSP00000362205	0.901
9606.ENSP00000284981	9606.ENSP00000433560	0.898
9606.ENSP00000284981	9606.ENSP00000324806	0.897
9606.ENSP00000284981	9606.ENSP00000221930	0.895
9606.ENSP00000284981	9606.ENSP00000375810	0.892
9606.ENSP00000284981	9606.ENSP00000367668	0.891
9606.ENSP00000284981	9606.ENSP00000275493	0.889
9606.ENSP00000284981	9606.ENSP00000245907	0.887
9606.ENSP00000284981	9606.ENSP00000498587	0.886
9606.ENSP00000284981	9606.ENSP00000256637	0.883
9606.ENSP00000284981	9606.ENSP00000365576	0.882
9606.ENSP00000284981	9606.ENSP00000364210	0.881
9606.ENSP00000284981	9606.ENSP00000240185	0.881
9606.ENSP00000284981	9606.ENSP00000168216	0.881
9606.ENSP00000284981	9606.ENSP00000303634	0.88
9606.ENSP00000284981	9606.ENSP00000320866	0.878
9606.ENSP00000284981	9606.ENSP00000403888	0.873
9606.ENSP00000284981	9606.ENSP00000477455	0.872
9606.ENSP00000284981	9606.ENSP00000226574	0.87
9606.ENSP00000284981	9606.ENSP00000419782	0.868
9606.ENSP00000284981	9606.ENSP00000261879	0.866
9606.ENSP00000284981	9606.ENSP00000362680	0.864
9606.ENSP00000284981	9606.ENSP00000482169	0.861
9606.ENSP00000284981	9606.ENSP00000362924	0.86
9606.ENSP00000284981	9606.ENSP00000414303	0.858
9606.ENSP00000284981	9606.ENSP00000418525	0.857
